unknown	Action	Adventure	Animation	Childrens	Comedy	Crime	Documentary	Drama	Fantasy	Film-Noir	Horror	Musical	Mystery	Romance	Sci-Fi	Thriller	War	Western	movie id	movie title	release date	video release date	IMDb URL
string	0 1 0.0 1.0	0 1	0 1	0 1	0 1 0.0 1.0	0 1	0 1	0 1 0.0 1.0	0 1	0 1	0 1	0 1	0 1	0 1	0 1	0 1	0 1	0 1	string	string	string	string	string
meta																			meta	meta	meta	meta	meta
0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	movie_1	Toy Story (1995)	01-Jan-1995	?	http://us.imdb.com/M/title-exact?Toy%20Story%20(1995)
0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	movie_2	GoldenEye (1995)	01-Jan-1995	?	http://us.imdb.com/M/title-exact?GoldenEye%20(1995)
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	movie_3	Four Rooms (1995)	01-Jan-1995	?	http://us.imdb.com/M/title-exact?Four%20Rooms%20(1995)
0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	movie_4	Get Shorty (1995)	01-Jan-1995	?	http://us.imdb.com/M/title-exact?Get%20Shorty%20(1995)
0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	movie_5	Copycat (1995)	01-Jan-1995	?	http://us.imdb.com/M/title-exact?Copycat%20(1995)
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	movie_6	Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)	01-Jan-1995	?	http://us.imdb.com/Title?Yao+a+yao+yao+dao+waipo+qiao+(1995)
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	movie_7	Twelve Monkeys (1995)	01-Jan-1995	?	http://us.imdb.com/M/title-exact?Twelve%20Monkeys%20(1995)
0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	movie_8	Babe (1995)	01-Jan-1995	?	http://us.imdb.com/M/title-exact?Babe%20(1995)
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	movie_9	Dead Man Walking (1995)	01-Jan-1995	?	http://us.imdb.com/M/title-exact?Dead%20Man%20Walking%20(1995)
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	movie_10	Richard III (1995)	22-Jan-1996	?	http://us.imdb.com/M/title-exact?Richard%20III%20(1995)
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	movie_11	Seven (Se7en) (1995)	01-Jan-1995	?	http://us.imdb.com/M/title-exact?Se7en%20(1995)
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	movie_12	Usual Suspects, The (1995)	14-Aug-1995	?	http://us.imdb.com/M/title-exact?Usual%20Suspects,%20The%20(1995)
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	movie_13	Mighty Aphrodite (1995)	30-Oct-1995	?	http://us.imdb.com/M/title-exact?Mighty%20Aphrodite%20(1995)
0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	movie_14	Postino, Il (1994)	01-Jan-1994	?	http://us.imdb.com/M/title-exact?Postino,%20Il%20(1994)
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	movie_15	Mr. Holland's Opus (1995)	29-Jan-1996	?	http://us.imdb.com/M/title-exact?Mr.%20Holland's%20Opus%20(1995)
0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	movie_16	French Twist (Gazon maudit) (1995)	01-Jan-1995	?	http://us.imdb.com/M/title-exact?Gazon%20maudit%20(1995)
0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	movie_17	From Dusk Till Dawn (1996)	05-Feb-1996	?	http://us.imdb.com/M/title-exact?From%20Dusk%20Till%20Dawn%20(1996)
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	movie_19	Antonia's Line (1995)	01-Jan-1995	?	http://us.imdb.com/M/title-exact?Antonia%20(1995)
0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	movie_20	Angels and Insects (1995)	01-Jan-1995	?	http://us.imdb.com/M/title-exact?Angels%20and%20Insects%20(1995)
0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	movie_21	Muppet Treasure Island (1996)	16-Feb-1996	?	http://us.imdb.com/M/title-exact?Muppet%20Treasure%20Island%20(1996)
0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	movie_22	Braveheart (1995)	16-Feb-1996	?	http://us.imdb.com/M/title-exact?Braveheart%20(1995)
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	movie_23	Taxi Driver (1976)	16-Feb-1996	?	http://us.imdb.com/M/title-exact?Taxi%20Driver%20(1976)
0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	movie_24	Rumble in the Bronx (1995)	23-Feb-1996	?	http://us.imdb.com/M/title-exact?Hong%20Faan%20Kui%20(1995)
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	movie_25	Birdcage, The (1996)	08-Mar-1996	?	http://us.imdb.com/M/title-exact?Birdcage,%20The%20(1996)
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	movie_26	Brothers McMullen, The (1995)	01-Jan-1995	?	http://us.imdb.com/M/title-exact?Brothers%20McMullen,%20The%20(1995)
