user	Action	Adventure	Animation	Childrens	Comedy	Crime	Documentary	Drama	Fantasy	Film_Noir	Horror	Musical	Mystery	Romance	Sci_Fi	Thriller	War	Western	Z score
string	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous
																			meta
15	2.681818	3.000000	1.000000	1.857143	2.678571	2.500000	3.722488	3.111111	3.333333	3.000000	1.000000	2.000000	2.428571	3.458333	2.583333	2.320000	3.444444	3.560632	2.106
22	3.757576	3.500000	3.555869	1.666667	3.161290	4.000000	3.722488	4.312500	1.000000	5.000000	3.600000	4.250000	1.000000	3.578947	3.880000	3.782609	3.533333	4.666667	2.828
27	3.200000	2.750000	2.000000	2.000000	5.000000	5.000000	3.722488	3.416667	3.244709	3.765311	4.000000	2.000000	2.000000	3.333333	3.250000	3.000000	3.500000	3.560632	2.332
78	2.666667	4.000000	3.555869	3.392440	3.416667	1.000000	2.000000	4.000000	4.000000	3.765311	4.000000	4.000000	1.000000	4.500000	3.666667	2.666667	3.717189	3.560632	2.685
127	4.785714	4.727273	3.555869	5.000000	4.500000	3.634215	3.722488	1.800000	3.244709	3.765311	5.000000	3.410054	3.504087	2.750000	4.769231	5.000000	2.750000	3.560632	3.444
137	4.857143	4.928571	3.000000	3.750000	4.000000	4.500000	3.722488	3.500000	4.000000	5.000000	5.000000	3.000000	4.000000	4.272727	4.857143	4.785714	4.000000	1.000000	2.592
161	2.384615	2.000000	1.000000	1.000000	2.444444	2.666667	1.000000	2.724138	3.244709	3.000000	3.310894	2.000000	2.333333	2.647059	2.200000	3.142857	2.500000	2.000000	2.671
166	4.285714	3.486068	3.555869	3.000000	3.000000	1.000000	3.722488	3.166667	3.244709	3.765311	3.500000	3.410054	5.000000	3.400000	4.000000	4.111111	1.000000	3.560632	2.819
174	2.529412	2.600000	2.500000	2.500000	3.048780	4.000000	3.722488	4.507246	1.500000	4.000000	2.000000	3.285714	4.250000	4.581395	2.666667	3.640000	4.000000	2.000000	2.222
179	2.000000	1.500000	4.000000	4.000000	2.444444	2.750000	3.722488	3.250000	3.244709	4.000000	4.500000	2.500000	3.600000	3.250000	3.000000	3.636364	1.000000	3.560632	2.226
181	1.553191	1.517241	1.857143	1.428571	1.576087	1.523810	1.250000	1.885965	1.400000	1.666667	2.181818	2.285714	1.882353	1.913043	1.947368	1.909091	1.916667	1.000000	3.158
206	2.000000	3.486068	3.555869	2.000000	2.125000	3.200000	1.000000	2.523810	2.000000	5.000000	3.500000	1.000000	3.750000	3.000000	2.666667	3.000000	1.250000	3.560632	3.919
208	4.500000	4.000000	3.555869	3.392440	3.875000	2.666667	3.722488	3.555556	3.244709	1.000000	3.000000	4.000000	1.000000	4.000000	3.000000	2.500000	4.500000	4.500000	2.528
227	2.800000	2.666667	1.000000	3.392440	3.235294	4.000000	3.722488	3.821429	4.000000	2.000000	2.000000	4.000000	3.250000	3.500000	3.400000	3.083333	3.000000	3.560632	2.094
258	4.571429	3.000000	3.555869	3.000000	4.000000	5.000000	3.722488	4.000000	3.244709	3.765311	1.000000	2.000000	2.500000	4.375000	2.000000	3.700000	4.666667	3.560632	2.825
316	2.000000	2.555556	1.000000	2.250000	2.555556	2.750000	3.000000	3.769231	3.244709	1.500000	1.333333	2.000000	5.000000	3.458333	1.000000	2.700000	3.785714	3.500000	4.053
341	3.750000	2.000000	3.555869	3.000000	3.428571	5.000000	3.722488	5.000000	3.244709	5.000000	3.666667	3.410054	3.000000	3.333333	1.000000	3.400000	3.717189	3.560632	2.023
358	1.666667	2.333333	4.000000	4.666667	3.142857	1.500000	3.722488	3.785714	4.000000	3.765311	1.000000	5.000000	3.500000	4.000000	4.333333	3.500000	3.000000	3.560632	2.962
418	2.000000	3.500000	3.555869	4.000000	2.666667	1.666667	3.722488	2.285714	3.244709	2.000000	4.500000	1.000000	2.250000	2.000000	5.000000	3.125000	3.717189	3.560632	3.587
