age	gender	occupation	zip code	label
continuous	F M	string	string	string
		meta	meta	meta
24	M	technician	85711	user_1
53	F	other	94043	user_2
23	M	writer	32067	user_3
24	M	technician	43537	user_4
33	F	other	15213	user_5
42	M	executive	98101	user_6
57	M	administrator	91344	user_7
36	M	administrator	05201	user_8
29	M	student	01002	user_9
53	M	lawyer	90703	user_10
39	F	other	30329	user_11
28	F	other	06405	user_12
47	M	educator	29206	user_13
45	M	scientist	55106	user_14
49	F	educator	97301	user_15
21	M	entertainment	10309	user_16
30	M	programmer	06355	user_17
35	F	other	37212	user_18
40	M	librarian	02138	user_19
42	F	homemaker	95660	user_20
26	M	writer	30068	user_21
25	M	writer	40206	user_22
30	F	artist	48197	user_23
21	F	artist	94533	user_24
39	M	engineer	55107	user_25
49	M	engineer	21044	user_26
40	F	librarian	30030	user_27
32	M	writer	55369	user_28
41	M	programmer	94043	user_29
7	M	student	55436	user_30
24	M	artist	10003	user_31
28	F	student	78741	user_32
23	M	student	27510	user_33
38	F	administrator	42141	user_34
20	F	homemaker	42459	user_35
19	F	student	93117	user_36
23	M	student	55105	user_37
28	F	other	54467	user_38
41	M	entertainment	01040	user_39
38	M	scientist	27514	user_40
33	M	engineer	80525	user_41
30	M	administrator	17870	user_42
29	F	librarian	20854	user_43
26	M	technician	46260	user_44
29	M	programmer	50233	user_45
27	F	marketing	46538	user_46
53	M	marketing	07102	user_47
45	M	administrator	12550	user_48
23	F	student	76111	user_49
21	M	writer	52245	user_50
28	M	educator	16509	user_51
18	F	student	55105	user_52
26	M	programmer	55414	user_53
22	M	executive	66315	user_54
37	M	programmer	01331	user_55
25	M	librarian	46260	user_56
16	M	none	84010	user_57
27	M	programmer	52246	user_58
49	M	educator	08403	user_59
50	M	healthcare	06472	user_60
36	M	engineer	30040	user_61
27	F	administrator	97214	user_62
31	M	marketing	75240	user_63
32	M	educator	43202	user_64
51	F	educator	48118	user_65
23	M	student	80521	user_66
17	M	student	60402	user_67
19	M	student	22904	user_68
24	M	engineer	55337	user_69
27	M	engineer	60067	user_70
39	M	scientist	98034	user_71
48	F	administrator	73034	user_72
24	M	student	41850	user_73
39	M	scientist	T8H1N	user_74
24	M	entertainment	08816	user_75
20	M	student	02215	user_76
30	M	technician	29379	user_77
26	M	administrator	61801	user_78
39	F	administrator	03755	user_79
34	F	administrator	52241	user_80
21	M	student	21218	user_81
50	M	programmer	22902	user_82
40	M	other	44133	user_83
32	M	executive	55369	user_84
51	M	educator	20003	user_85
26	M	administrator	46005	user_86
47	M	administrator	89503	user_87
49	F	librarian	11701	user_88
43	F	administrator	68106	user_89
60	M	educator	78155	user_90
55	M	marketing	01913	user_91
32	M	entertainment	80525	user_92
48	M	executive	23112	user_93
26	M	student	71457	user_94
31	M	administrator	10707	user_95
25	F	artist	75206	user_96
43	M	artist	98006	user_97
49	F	executive	90291	user_98
20	M	student	63129	user_99
36	M	executive	90254	user_100
15	M	student	05146	user_101
38	M	programmer	30220	user_102
26	M	student	55108	user_103
27	M	student	55108	user_104
24	M	engineer	94043	user_105
61	M	retired	55125	user_106
39	M	scientist	60466	user_107
44	M	educator	63130	user_108
29	M	other	55423	user_109
19	M	student	77840	user_110
57	M	engineer	90630	user_111
30	M	salesman	60613	user_112
47	M	executive	95032	user_113
27	M	programmer	75013	user_114
31	M	engineer	17110	user_115
40	M	healthcare	97232	user_116
